Title,University,Program,Funding,Year,Recipients_Partners,Description,Category
Queensland grouper: bigger and better through selective breeding,James Cook University,NIPhD Program - Industry Researcher,"$223,144.00",2024,The Company One,"Using advanced genotyping technology, this project will undertake the world’s first selective breeding program of the Queensland Grouper. This research will increase Australian farm productivity and profitability, provide opportunity for new aquaculture entrants, and expand Australia’s competitive reach in international markets.",Agriculture & Food Technology
The ecology and conservation of the threatened Large-eared Pied Bat,Macquarie University,NIPhD Program - Industry Linked,"$71,404.00",2024,Thesium Pty Ltd,"This project will combine ecological and genetic approaches to improve understanding of the ecology of one of Australia’s threatened insectivorous bat species, the Large-eared Pied Bat. This project will increase knowledge of the species’ habitat requirements in a changing environment, improving our ability to guide conservation efforts.","Defence, Aerospace, & Security"
Novel cattle feed for reduction of greenhouse gases,Macquarie University,NIPhD Program - Industry Researcher,"$223,144.00",2024,Number 8 Bio,"This project aims to develop feed additives that can reduce greenhouse gas emissions produced by cattle. If successful, this project will create an anti-methanogenic supplement for use on Australian farms. This could significantly reduce the nation’s greenhouse gas emissions and provide economic benefits to agricultural communities.","Energy, Environment & Sustainability"
Increasing commercialisation success in public research organisations: focusing on healthcare,Macquarie University,NIPhD Program - Industry Researcher,"$223,144.00",2024,"Hearing Australia through its research division, National Acoustic Laboratories",This project will develop managerial guidelines on how to increase commercialisation success and R&D investment efficiency. This research will help research organisations translate scientific knowledge into new solutions and develop innovation ecosystems.,Health & Medical Technology
Converting Food Waste into Compostable Stretch Wrap,Monash University,NIPhD Program - Industry Linked,"$71,404.00",2024,GREAT WRAP PTY LTD,"This project aims to transform Australian potato waste into compostable stretch wrap using biopolymers generated by waste-consuming bacteria. Success in this project offers a sustainable solution for the next generation of compostable pallet films, promoting a circular economy, reducing petroleum-based plastics reliance and curbing plastic waste in landfills and oceans.","Energy, Environment & Sustainability"
Green future quest: teamwork for a cleaner world,Monash University,NIPhD Program - Industry Researcher,"$223,144.00",2024,Woodside Energy Group Ltd,"This project is dedicated to finding the most efficient clean energy and anti-pollution technologies. The goal is to assist businesses and governments to make eco-friendly and cost-effective technology choices, thus reducing pollution and saving money.","Energy, Environment & Sustainability"
Electric Vehicle Tariff and Feed-in-tariff Design for Smart Charger Implementation,The Royal Melbourne Institute of Technology (RMIT),NIPhD Program - Industry Linked,"$71,404.00",2024,Smart Lifestyle Australia,This project will develop methodologies to calculate appropriate payment rates for electric vehicle charging in public charging stations. The expected outcome of the project is a set of market-based rules to determine the variable electric vehicle charging rates. This project will benefit both electric vehicle and charging station owners.,"Energy, Environment & Sustainability"
Helping cultural institutions create digital environments reflective of audience neurodiversity,The Royal Melbourne Institute of Technology (RMIT),NIPhD Program - Industry Linked,"$71,404.00",2024,National Museum of Australia,"This project will develop ways for galleries, libraries, archives and museums to make digital content more accessible for people identifying as neurodivergent by developing new guidelines, content environments and a design methods toolkit. Potential benefits include fuller access and greater participation in cultural heritage for people identifying as neurodiverse.","Energy, Environment & Sustainability"
Tailored support for Aboriginal children in out-of-home care,Southern Cross University,NIPhD Program - Industry Researcher,"$223,144.00",2024,Abcare (Coffs Harbour Aboriginal Family Community Care Centre Aboriginal Corporation),"This project will create a psycho-education and support program for Aboriginal children in out-of-home care. It has the potential to increase engagement with support services, contributing to evidence-based policies and practices in child welfare.","Energy, Environment & Sustainability"
Low-cost lenses for thermal imaging,Flinders University,AEA Seed,"$495,624.00",2024,Professor Justin Chalker,"The project aims to make new, lower-cost lenses for use in thermal imaging cameras, security systems, smart phones, and home appliances.","Defence, Aerospace, & Security"
Advanced Silicon Carbide Transistor Prototype for Highly Efficient and Reduced Cost Power Conversion Systems,Griffith University,AEA Seed,"$299,204.00",2024,Dr Daniel Haasmann,"This project aims to develop an advanced Silicon Carbide (SiC) semiconductor switch for use in smaller, lighter, cost-effective and highly efficient renewable energy generation systems such as those used in electric vehicles.","Energy, Environment & Sustainability"
Pitting AI Against Phone Scams – A Proactive Defence,Macquarie University,AEA Seed,"$499,023.00",2024,Professor Dali Kaafar,This project aims to undermine scam callers by developing a technology that will redirect scam calls to conversational AI bots optimised to present as convincing scam victims.,"Energy, Environment & Sustainability"
All-electronic sensing platform for real-time stand-off detection of toxic gases,Monash University,AEA Seed,"$422,886.00",2024,Associate Professor Sudha Mokkapati,"The project will develop prototypes for portable, lightweight, low-cost sensors for real-time detection of toxic gases in hard to reach places. This sensor technology will ensure the safety and efficacy of environmental monitoring undertaken by workers across a range of industries from mining, chemical processing to food safety.","Energy, Environment & Sustainability"
Personalised aerosol therapy: enabling inhaled administration of next generation therapeutics,Monash University,AEA Seed,"$398,325.00",2024,Dr Tuncay Alan,This project will develop a personalised aerosol drug therapy system to enable inhalation of a broader range of biological therapeutics.,Health & Medical Technology
Towards Sustainable Agriculture: Development of a Robotic Harvesting System,Monash University,AEA Seed,"$385,975.00",2024,Dr Hugh Zhou,This project will develop a robotic arm for an apple-harvesting robot that will improve harvest yield and promote Australia's technological competence in the emerging agricultural harvesting robot market.,"Energy, Environment & Sustainability"
Development of recombinant plasminogen fusion proteins for wound healing and diseases associated with fibrin accumulation,Monash University,AEA Seed,"$153,500.00",2024,Associate Professor Ruby Law,"The project aims to develop a blood-clot dissolving protein for chronic conditions that promotes wound healing and limits scarring of tissue. The project aims to apply the protein to assist in cases of stroke, chronic inflammation and fibrosis.",Health & Medical Technology
FeBI – Advancing quantum technology to transform the diagnosis and management of iron disorders,The University of Melbourne,AEA Seed,"$322,990.00",2024,Associate Professor Gawain McColl,This project will develop a new blood test based on quantum sensing that improves diagnostic sensitivity and management of iron related disorders.,Health & Medical Technology
Converged architecture of millimetre-wave wireless communications and edge computing for transformation of advanced manufacturing environments,The University of Melbourne,AEA Seed,"$199,778.00",2024,Dr Chien Aun Chan,"The project aims to uplift Australian manufacturing through digital transformation of plants and factories. The project will improve wireless network connectivity in advanced manufacturing settings improving productivity, cutting waste, and making manufacturing processes more competitive.",Agriculture & Food Technology
Dynamic interface printing as a novel biofabrication technology,The University of Melbourne,AEA Seed,"$199,482.00",2024,Mr Callum Vidler,"This project aims to develop a new biological 3D printing prototype as a potential alternative to the use of animal tissue in patients. The technology would allow medical practitioners to fabricate artificial organ and tissue models using human cells. This project aims to rapidly print tissues within seconds, to develop accurate, cost-effective, and clinically viable treatments.",Health & Medical Technology
Commercialising a Wideband Quantum Microwave Amplifier,The University of New South Wales,AEA Seed,"$249,902.00",2024,Associate Professor Jarryd Pla,"This project seeks to commercialise a quantum-enabled device that boosts the strength of weak communication signals. The ‘quantum amplifier’ can be used in applications where the detection of very weak microwaves is critical, such as in quantum computing, satellite communication, defence and fundamental scientific research.","Energy, Environment & Sustainability"
Miniaturising and up-scaling of robotic tactile sensors with CMOS photonic pixel arrays,The University of New South Wales,AEA Seed,"$418,277.00",2024,Dr David Tsai,This project will aim to improve the usability and capability of agricultural robots that deliver higher yields and less damage to products.,"Defence, Aerospace, & Security"
Pilot-scale manufacture of microfluidic bioreactors for the biotech industry,The University of New South Wales,AEA Seed,"$491,530.00",2024,Dr Robert Nordon,"The biotech industry relies on large-scale fermentation methods to scale-up biopharmaceutical products. However, products that modify patients’ own cells to treat disease are too expensive to manufacture at scale using this method. This project will develop a process, using additive manufacturing techniques, to automate complex cell manufacturing processes at a reduced cost to test and evaluate the feasibility of automation at larger volumes.",Health & Medical Technology
Development of a commercial version of a software model checker,The University of New South Wales,AEA Seed,"$324,940.00",2024,Professor Ron van der Meyden,"The project will develop a new software verification system that identifies and mitigates errors and security concerns in new software. The software has broad applicability across several sectors including defence, computer hardware, avionics, automotive, robotics, autonomous systems and blockchain to provide assurance of digital systems.","Energy, Environment & Sustainability"
Commercialisation of an anticorrosion coating technology for underground mine applications,The University of New South Wales,AEA Seed,"$197,189.00",2024,Dr Honghao Chen,This project aims to develop a new anti-corrosion coating technology for bolts used in mining operations that will improve worker safety and reduce the cost of maintenance and repair.,"Energy, Environment & Sustainability"
Automated Robotic System for Seamless Manufacturing of Polymeric Heart Valve Replacements with Enhanced Longevity and Possibility for Personalisation,The University of Sydney,AEA Seed,"$273,179.00",2024,Dr Sina Naficy,This project aims to advance the development of next generation heart valve replacements with a fully automated robotic manufacturing system. The system will efficiently produce customised valves for each patient and have an extended lifespan of over 25 years.,Health & Medical Technology
A sovereign Autonomous Underwater Vehicle capability,The University of Sydney,AEA Seed,"$499,036.00",2024,Dr Lachlan Toohey,"The project will test an Autonomous Underwater Vehicle (AUV) that can hover above the seafloor to collect better data in difficult conditions. This technology could be used for environmental surveys of offshore infrastructure assessments (such as windfarms), scientific data collection and various defence applications.","Energy, Environment & Sustainability"
"Bulk, through-put enantiomer separation using helical electromagnetic devices for pharmaceutical manufacturing",The University of Western Australia,AEA Seed,"$164,957.00",2024,Dr Jeremy Bourhill,This project will develop a new device to improve the process of separating molecules which is a costly and time-consuming process for pharmaceutical development. Success of this project will reduce drug manufacturing costs.,Health & Medical Technology
Rotation Testing Low-cost Gyroscopes for Autonomous Land Navigation,The Australian National University,AEA Seed,"$199,132.00",2024,Dr Chathura Bandutunga,This project will test a new type of laser-based sensor for use in land navigation technology used in self-driving cars. The project aims to meet the strict safety standards for the automotive industry at a lower price point for consumers.,"Defence, Aerospace, & Security"
A new method for commercial ship route optimisation using real-time ocean intelligence,The University of New South Wales,AEA Seed,"$198,153.00",2024,Associate Professor Shane Keating,"This project aims to commercialise a new digital technology that optimises cargo vessels’ transit time to minimise fuel consumption. The technology will utilise state-of-the-art ocean forecast models, machine learning, and mathematical techniques to compare hundreds of thousands of possible routes in minutes to inform each vessel of a fuel-efficient navigation option.","Energy, Environment & Sustainability"
New Hydrogen Fuel Cell for Aviation Transportation,The University of New South Wales,AEA Seed,"$192,858.00",2024,Dr Quentin Meyer,"This project aims to develop a new fuel cell to power small drones and assist the aviation transport sector in developing clean aircraft that are low-cost, low-weight and high-range.","Energy, Environment & Sustainability"
Developing a Novel High- Efficiency Micro-Electric Vehicle Motor,The University of New South Wales,AEA Seed,"$198,087.00",2024,Dr Matthew Priestley,"The project will develop and validate a prototype Australian e-bike motor that will use 40% less rare-earth material. This project aims to reduce production cost, power consumption, lower audible noise and make e-Bikes lighter and therefore more efficient.","Energy, Environment & Sustainability"
Music Attuned Technology Care via eHealth (MATCH) A music adaptive technology and training program to manage dementia symptoms,The University of Melbourne,AEA Seed,"$200,773.00",2024,Professor Felicity Baker,"Currently more than 55 million people have dementia worldwide, over 60% of whom live in low-and middle-income countries. Every year, there are nearly 10 million new cases. This project aims to create a music system that specifically targets dementia and enhances the overall quality of life for individuals affected by this condition. Additionally, this project recognises the importance of providing training for caregivers, enabling them to effectively utilise the technology and support individuals with dementia, improving the well-being of individuals and their caregivers.",Health & Medical Technology
A novel framework for automated design of personalised implants,The University of Melbourne,AEA Seed,"$224,572.00",2023,Dr Dale Robinson,"Fracture plates for internal fixation of fractures have been used for more than a hundred years.  However, while these plates improve patient outcomes, they are still considered blunt in their application. This project aims to progress novel software called ‘AutoPlate3D’ capable of automating the design and production of personalised fracture plates to better match patients’ specific needs. This software will enhance the efficiency, accuracy and customisation of fracture plate production, allowing for industrial manufacturing in Australia and ultimately improving patient care in the treatment of fractures.",Health & Medical Technology
A novel microfluidic device for ocular tear fluid collection,The University of Melbourne,AEA Seed,"$197,477.00",2023,Dr Sumeer Singh Hari Singh,"Dry eye disease affects around 20% of adult Australians and costs the economy close to $1.2 billion a year in care and treatment. This project aims to develop a tear collector device that is crucial for the functioning of a tear diagnostic platform known as ADMiER, capable of effectively and efficiently diagnosing dry eye disease. Unlike current methods, this device has the potential to transform the field of ophthalmology through non-invasive diagnosis. The device will also provide clinicians with valuable insights into the underlying causes and appropriate treatment strategies, leading to rapid and precise care for patients.",Health & Medical Technology
Enhancing biopharmaceuticals: a disruptive bioseparation resin technology,Griffith University,AEA Seed,"$498,470.00",2023,Professor Bernd Rehm,"This project's goal is to progress groundbreaking resin technology for the large-scale production of complex medicines made from living cells or organisms, known as biopharmaceuticals. This technology will address bioseparation limitations experienced by the biopharmaceutical manufacturing industry. Bioseparation refers to the process of separating and purifying biological molecules, such as proteins, from a complex mixture to produce a high-quality product for therapeutic use. The project involves developing bacterial cell factories that can produce a high-quality resin efficiently and affordably, which will transform the production of blood plasma-medicines.",Health & Medical Technology
Highly efficient and simplified hydrogen compression with metal hydrides,The University of Sydney,AEA Seed,"$199,270.00",2023,Professor Kondo-Francois Aguey-Zinsou,"Hydrogen is a clean fuel of high energy density, however as it is a gas it has a low volumetric density. This project aims to advance the integration of advanced materials, specifically hydrides, into hydrogen compressors to achieve the efficient and maintenance-free storage of hydrogen. This initiative is significant as it addresses the need for more efficient storage solutions, which is a critical component in the broader adoption of the clean energy source. Such novel metal hydride-based compressors will enable a greater deployment of hydrogen to directly refill fuel cell vehicles and on industrial sites to decarbonise the hard to abate sectors including the steel, cement and chemical industry. The successful integration of advanced materials into hydrogen compressors could lead to more cost effective and space efficient storage methods, supporting the transition to net zero.","Energy, Environment & Sustainability"
Development of an intraoral robotic device for enhancing tooth restoration,Griffith University,AEA Seed,"$263,126.00",2023,Professor Dzung Dao,"While automation and robotic assistance are widely adopted in other medical fields, their application in dentistry remains limited. Dentists rely heavily on their eyesight and dexterity to perform complex restorative and aesthetic procedures. This project aims to create small robotic devices for the dental industry, capable of effectively and painlessly removing diseased teeth. The miniature robotic device has the potential to revolutionise the dental industry by offering efficient treatment options and patient comfort.",Health & Medical Technology
The Rectangular Block Dental Implant. Prototype to the Clinic,The University of Melbourne,AEA Seed,"$174,245.00",2023,Associate Professor Roy Judge,"Affordable and effective dental surgery can have long lasting impacts on a range of patient health outcomes. Where preventative measures are not enough, restorative dentistry is necessary to assist patients. This project aims to tackle the challenges associated with placing dental implants (replacements for missing teeth) in patients who are not suitable candidates for conventional implant procedures. By addressing challenges like low bone volume in older patients, the project aims to expand the accessibility and effectiveness of dental implant treatments, particularly for individuals who may have been previously precluded from receiving such implants.",Health & Medical Technology
"A safe, affordable, and durable battery technology for fully decarbonized electric grid",The University of New South Wales,AEA Seed,"$185,978.00",2023,Dr Dipan Kundu,"Aqueous zinc batteries, with their safety, sustainability and cost-effective production, are ideal for large-scale renewable every storage. The aim of this project is to enhance the durability and energy density of aqueous zinc batteries, with the focus on improving the overall performance and stability at harsh temperature conditions. The project benefits, including advanced battery technology development and manufacturing, will foster job creation, skills development, and value add to materials resources, leading to long-term economic growth and prosperity. An affordable, safe and recyclable battery technology for residential, commercial and grid-scale storage could accelerate widespread renewable implementation, supporting Australia's transition to net zero.","Energy, Environment & Sustainability"
An Internet of Things platform for smart farming through new truly simple and affordable soil moisture sensors: A shallow install for deep root crops,The University of Melbourne,AEA Seed,"$199,977.00",2023,Professor Guillermo Narsilio,"This project aims to develop a simple and smart soil monitoring system to support data-driven decision making in agriculture. This monitoring system will de-risk farm operations and encourage more sustainable practices that reduce irrigation and fertiliser use, helping to optimise sowing practices and limit crop losses. This system is designed to be affordable and accurate, capable of measuring soil moisture and temperature to depths of up to 2 meters from 15 centimetres depth installation. These outcomes will support growth in Australia’s agricultural sector with projections indicating $514 million annual savings if the system was adopted by Australia’s 11,000 wheat and barley farms alone. Australia’s $75 billion export economy stands to benefit, and technology export will help global agricultural markets meet the world’s growing need for food.","Energy, Environment & Sustainability"
Bovine Tritrichomonas foetus whole protozoan vaccine proof of concept trial,The University of Queensland,AEA Seed,"$322,596.00",2023,Professor Alicja Tabor,"This project's aim is to validate the effectiveness of an experimental vaccine for bovine trichomoniasis, a venereal disease in cattle. The significance of this project lies in its potential to address the disease's prevalence in northern Australia, where it was found to be more common than previously thought, with one in 10 bulls at northern abattoirs testing positive.  This project is crucial for the cattle industry, as bovine trichomoniasis can lead to infertility or early abortion, impacting cattle health and productivity. Successful demonstration of the vaccine's efficacy could encourage commercial uptake, which would be a significant step forward in managing and controlling the disease.",Health & Medical Technology
Sugar-AI: Smart Sugarcane Health Monitoring and Ratoon Stunting Disease (RSD) Detection with Satellite Remote Sensing and Machine Learning,James Cook University,AEA Seed,"$199,613.00",2023,Associate Professor Mostafa Rahimi Azghadi,"The Sugar-AI project is an ambitious initiative aimed at developing a user-friendly prototype software system to monitor the health of sugarcane crops. It seeks to build upon a proof-of-concept design that has demonstrated the ability to accurately diagnose Ratoon Stunting Disease (RSD) with more than 90% accuracy. The design uses free satellite data to extract vegetation indicators and employs machine learning to identify RSD, which is one of the most significant diseases impacting sugarcane yields, potentially reducing them by up to 60%.",Health & Medical Technology
Driving efficiency and sustainability in livestock production with improved methods for sex selection at conception,University of Tasmania,AEA Seed,"$495,787.00",2023,Dr Laura Parsley,"In Australia around 400,000 male dairy calves are culled every year as breeding wastage, with around 21 million culled globally. This represents an enormous financial and productive capacity loss for the dairy sector. The aim of this project is to optimise and commercialise the discovery of novel sperm sorting. This method could be crucial for the livestock production industry as it drives efficiency and sustainability by improving methods for sex selection at conception. The significance of this project lies in its potential to enhance livestock production by allowing breeders to select the desired sex of the offspring, which can lead to more controlled breeding programs and better herd management.","Energy, Environment & Sustainability"
Rock Bolt Detection and Identification Based on LiDAR Point Cloud,The University of New South Wales,AEA Seed,"$160,000.00",2023,Dr Chengpei Xu,"Australia's economy depends heavily on the continuous operation of safe and efficient mines. In underground mines, rock bolts, as part of the ground support, play a crucial role in stabilising tunnels, and their detection and identification are essential for ground support monitoring. The aim of this project is to develop a deep learning model capable of identifying and geolocating rock bolts from the underground LiDAR point clouds. This model is expected to significantly improve the safety and efficiency of mining operations by providing accurate, real-time data on the structural integrity of mines.","Energy, Environment & Sustainability"
Recycling critical metals and minerals into value added alloys powders: Circular economy approach,Swinburne University of Technology,AEA Seed,"$498,127.00",2023,Professor Christopher Berndt,"This project focuses on the efficient use of critical raw materials by developing new advanced alloys through the metal recycling route. It aims to promote a circular economy in advanced manufacturing by recovering and repurposing high entropy alloys (HEAs) derived from end-of-life waste components or industrial by-products. The bespoke HEAs will be manufactured in powder form, designed based on a deep understanding of the materials, and will be used in applied research and development with the industrial partner. This initiative is expected to add value to the resources sector by enhancing the sustainability and efficiency of metal usage.","Energy, Environment & Sustainability"
Novel Coating Technology for Stealth and Shielding Applications in Defence,Monash University,AEA Seed,"$199,367.00",2023,Dr Muhammad Kashif,"This project aims to improve the technological readiness of a proprietary coating technology based on a novel class of electrically conductive materials that have already been developed. As well as, benchmarking it against existing commercial technologies and make it investment ready to enable its successful future commercialisation and deployment.","Energy, Environment & Sustainability"
Increasing the value of Australian beef with a device that measures meat-eating quality,The University of Adelaide,AEA Seed,"$406,908.00",2023,Professor Robert McLaughlin,"Australia is the world’s 4th largest exporter of beef meat, exporting 70% of its beef. However, average production costs are significantly higher than our competitors and with high production costs, there is a need for Australia to develop sovereign technology to remain competitive. This project aims to provide the Australian beef industry with a new device that offers rapid and reliable measurement quality. This innovation is expected to give the Australian export industry an international advantage and reduce production costs through improved efficiency. It also has the potential to significantly reduce current wastage costs, which are estimated at more than $100 million per year, resulting from producers supplying cattle that do not meet customer requirements.","Energy, Environment & Sustainability"
Private Machine Learning for Smart Energy Technologies,Swinburne University of Technology,NIPhD Program - Industry Linked,"$71,404.00",2024,Commonwealth Scientific and Industrial Research Organization (CSIRO),"This project will explore smart energy technologies, while safeguarding people's privacy and ensuring fairness. The expected outcome is to resolve conflicts between smart energy usage and ethical considerations. This solution will make it both efficient and safe for Australians to utilise smart energy.","Energy, Environment & Sustainability"
Working towards infinite recycling: Engineering enzymes to break down plastics,The Australian National University,NIPhD Program - Industry Linked,"$71,404.00",2024,Samsara Eco,"This project aims to create enzymes that can break down plastic. The expected outcome of this project is to produce more efficient plastic-degrading enzymes. This technology will potentially simplify plastic recycling, benefiting the people and environment of Australia.","Energy, Environment & Sustainability"
Enabling Rapid and High-Precision Digital Drug Design,The Australian National University,NIPhD Program - Industry Linked,"$71,404.00",2024,QDX Technologies,"This project aims to develop high-performance software for faster and more accurate virtual drug design.  The expected outcome of this project is a next-generation digital platform for quicker and more cost-effective drug design. This technology will potentially lead to faster and lower-cost drug development, benefiting both everyday patients and the businesses producing these drugs.",Health & Medical Technology
Incorporating experimental research methods with Indigenous research methodologies,The Australian National University,NIPhD Program - Industry Researcher,"$223,144.00",2024,Aurora Education Foundation,"This project will investigate quasi-experimental research methods across Indigenous policy, utilising the largest ever experimental evaluation in Indigenous education. The case study is a 5-year initiative seeking to understand the factors that contribute to Indigenous success in education. The research will contribute to the robust design of future policies and evaluations.","Energy, Environment & Sustainability"
Does setting a clear purpose ensure success for an organisation?,The Australian National University,NIPhD Program - Industry Researcher,"$223,144.00",2024,Denali Venture Partners,"The aim of this project is to investigate whether setting a clear organisational purpose impacts performance. The expected outcomes are frameworks for improving performance, which will benefit organisations that are seeking to drive both purpose and performance outcomes while increasing brand, employer, and share value.","Digital Technology, AI, & Data Science"
Polysaccharide-based double-grid structure pore-size-adjustable material’s preparation & its applications.,The University of Adelaide,NIPhD Program - Industry Linked,"$71,404.00",2024,Holocyte Pty Ltd,"Purification is a main driver of costs in many industries. This project will research low-cost polysaccharide-based membranes and their use in protein, industrial gas and mineral purification. This project will develop new, cheaper, and better purification membranes that can be sold to the international market.","Energy, Environment & Sustainability"
Intelligent sensing for a distributed radar network,The University of Melbourne,NIPhD Program - Industry Linked,"$71,404.00",2024,Lockheed Martin Australia / STELaRLab,This project will develop intelligent detection and tracking algorithms for a distributed radar network by sharing information among multiple radar sensors and applying non-centralised signal processing techniques. This research will directly benefit national security organisations as they consider how to best survey the Australian coastline.,"Energy, Environment & Sustainability"
Sound processing strategies to improve hearing with cochlear implants,The University of Melbourne,NIPhD Program - Industry Linked,"$71,404.00",2024,Cochlear Limited,"This project will develop methods of sound processing to improve hearing for Cochlear implant users. The research is expected to show that these methods improve the fidelity of Cochlear implants.  This could benefit Cochlear implants users in difficult listening situations, allowing clearer and easier communication.",Health & Medical Technology
Advanced “through-the-earth” communication,The University of Queensland,NIPhD Program - Industry Linked,"$71,404.00",2024,"Orica, Research & Innovation Division","This project will develop magnetic field sensing technologies (‘magnetometers’) to detect low frequency communication signals. Sensitive to exquisitely weak signals, these magnetometers will enable communication through the earth over longer distances using less energy than existing technology, with applications in mining, geoscience and defence.","Energy, Environment & Sustainability"
Harnessing fungal proteins to make better bone implants,The University of Sydney,NIPhD Program - Industry Linked,"$71,404.00",2024,Chris O’Brien Lifehouse (COBLH),"This project will investigate the use of modified fungal spore proteins to coat bone implants. The coating will be applied on 3D-printed bone implants to improve integration with human bones while preventing bacterial growth. This technology aims to shorten healing times and reduce implant failure, improving patient outcomes.",Health & Medical Technology
Reduction of methane greenhouse gas emissions by catalytic oxidation,University of Newcastle,NIPhD Program - Industry Linked,"$71,404.00",2024,"Australian Coal Association Research Projects (ACARP), Howden Australia",This project will assist in the development of a system to reduce methane emissions within the mining and energy sectors. The proposed technology has the potential to significantly reduce greenhouse gas emissions with much lower energy requirements than current technologies.,"Energy, Environment & Sustainability"
Improvement of Hemp Meal Quality and Its Application in Food,University of Newcastle,NIPhD Program - Industry Researcher,"$223,144.00",2024,Ananda Food Pty Ltd,"This project investigates advanced techniques to enhance the quality of hemp meal for broader food applications. The project aims to develop hemp meal with improved colour, higher protein content, and increased soluble dietary fibre, enabling its broader use in food. Consequently, this benefits the hemp industry, creates employment opportunities, and fosters economic growth.","Energy, Environment & Sustainability"
Ethical AI for Enhanced Health Insurance Risk Assessment and Decision-Making,University of Newcastle,NIPhD Program - Industry Researcher,"$223,144.00",2024,Nib Health Funds,This project aims to develop responsible and trustworthy AI practices for the health insurance industry. The expected outcomes of this project include practical and actionable solutions that can be readily implemented. The project will help to enhance insurance services and increase customer satisfaction.,Health & Medical Technology
Repatriation of Aboriginal ancestral remains: South Australian Museum and beyond,University of South Australia,NIPhD Program - Industry Researcher,"$223,144.00",2024,South Australian Museum,"This project will analyse the South Australian Museum’s Aboriginal ancestral remains repatriation program to develop models of culturally appropriate consultation, engagement, empowerment, co-design, and elevation of Aboriginal cultural authority. It will enable cultural institutions and other organisations to develop more equitable repatriation policies and practices that support reconciliation and healing.","Energy, Environment & Sustainability"
Investigation on the use of value-added pond ash as a construction material,The University of Southern Queensland,NIPhD Program - Industry Researcher,"$234,920.00",2023,BG&E Pty Ltd,"This project is focused on developing a low-carbon concrete using pond ash, a by-product found in coal ash repositories. By developing a material passport for pond ash, this project will potentially enable using the existing 400 million tonnes of pond ash reserve in Australia.","Energy, Environment & Sustainability"
Benchmarking farming decisions in livestock production to improve business resilience and environmental sustainability.,University of Technology Sydney,NIPhD Program - Industry Researcher,"$223,144.00",2024,AgriWebb,This project will enable farmers to improve their resilience to climate extremes. It will provide custom recommendations for sustainability and productivity gains derived from historical and regional benchmarking. These recommendations will deliver enhanced decision support for sustainable interventions and livestock management for Australian farmers.,"Energy, Environment & Sustainability"
Artificial intelligence empowered warehouse robots for human-like object handling,University of Technology Sydney,NIPhD Program - Industry Researcher,"$223,144.00",2024,Dematic Pty Ltd,"A project that is developing artificial intelligence for warehouse robots to learn human-like object handling. The expected outcome is the widespread adoption of robots into warehouse processes, such as grocery packing and fabric folding. This technology will result in faster deliveries, better labour conditions, and a more efficient supply chain.","Energy, Environment & Sustainability"
Leveraging machine learning to predict livestock weight for Australian producers,University of Technology Sydney,NIPhD Program - Industry Researcher,"$223,144.00",2024,Agriwebb,"This project seeks to use machine learning to predict livestock growth. The project will deliver a computer tool that predicts when to sell livestock animals, and will ensure animals are ready for market at the right time. This technology could potentially result in increased profits for farmers by optimising resource use.","Energy, Environment & Sustainability"
Improving farm productivity and sustainability planning through accurate livestock history,University of Technology Sydney,NIPhD Program - Industry Researcher,"$223,144.00",2024,Agriwebb,"This project aims to develop an algorithm that will provide farmers with a holistic and detailed perspective of their livestock, enhancing traceability, productivity, and decision-making capabilities. This will help livestock producers to effectively manage their group-oriented and individual animals. The project will set a precedent in smart farming and fostering data-driven approaches in agriculture.","Energy, Environment & Sustainability"
Circular economy approaches for delivering 21st-century sustainable buildings,University of Wollongong,NIPhD Program - Industry Linked,"$71,404.00",2024,"Cox Architecture Pty Ltd, REGIONAL CIRCULARITY CO-OPERATIVE LIMITED","This study will establish definitive guidelines for delivering the most sustainable buildings in Australia, improving our understanding of how to create “living buildings”.","Energy, Environment & Sustainability"
Collaborating with traditional owners to conserve a newly-discovered Australian mammal,Charles Darwin University,NIPhD Program - Industry Researcher,"$223,144.00",2024,Australian Wildlife Conservancy (AWC),"Traditional owners and the Australian Wildlife Conservancy have discovered a mammal species that was previously unknown to Australian scientists. This project provides the rare opportunity for traditional owners to collaboratively develop conservation plans for this species from the get-go, implementing a unique approach to Australia's biodiversity management.","Energy, Environment & Sustainability"
Improving fruit yield with unmanned ground vehicle and imaging technology,Central Queensland University,NIPhD Program - Industry Linked,"$71,404.00",2024,Freelance Robotics,"Orchard growers are increasingly adopting robotics and artificial intelligence in crop management to increase harvest yields. This project aims to integrate unmanned ground vehicle (UGV) technology into orchard imaging and harvesting technologies, allowing growers to improve resource allocation as well as enhance crop yield and quality.",Agriculture & Food Technology
Large-scale carbon capture and storage in a gas field,Curtin University,NIPhD Program - Industry Researcher,"$223,144.00",2024,OPES International Pty Ltd,"This project will develop a financially viable model for carbon dioxide capture and storage at the Wheatstone gas field in the Pilbara, helping achieve net-zero emissions targets and generating revenue through carbon credit markets.","Energy, Environment & Sustainability"
Detecting prostate and breast cancer circulating DNA to support treatment,Flinders University,NIPhD Program - Industry Researcher,"$223,144.00",2024,GNOMIX PTY LTD,"When cancer cells break down, they release DNA into the bloodstream known as circulating tumour DNA (ctDNA). This project will develop new laboratory tests to identify ctDNA in prostate and breast cancer cases, developing non-invasive tools for detecting and monitoring tumours, guiding treatment decisions and evaluating treatment responses.",Health & Medical Technology
